player_name,espn_id,team,position,season,category,fetched_at,GP,REC,TGTS,BIG,YDS/G,FUM,LST,YAC,FD,REC_YDS,REC_TD,REC_AVG,REC_LNG
Daniel Bellinger,4361516,NYG,TE,2022,receiving,2026-07-03T11:41:35.354918,12.0,30.0,35.0,2.0,22.3,1.0,1.0,144.0,14.0,268.0,2.0,8.9,24.0
Trey McBride,4361307,ARI,TE,2022,receiving,2026-07-03T11:41:35.354918,16.0,29.0,39.0,3.0,16.6,1.0,0.0,117.0,12.0,265.0,1.0,9.1,29.0
Phillip Dorsett II,2579604,HOU,WR,2022,receiving,2026-07-03T11:41:35.354918,15.0,20.0,40.0,5.0,17.1,0.0,0.0,62.0,11.0,257.0,1.0,12.9,34.0
Skyy Moore,4430191,KC,WR,2022,receiving,2026-07-03T11:41:35.354918,16.0,22.0,33.0,2.0,15.6,0.0,0.0,148.0,13.0,250.0,0.0,11.4,30.0
Tyquan Thornton,4362921,NE,WR,2022,receiving,2026-07-03T11:41:35.354918,13.0,22.0,45.0,4.0,19.0,0.0,0.0,68.0,13.0,247.0,2.0,11.2,29.0
Jonnu Smith,3054212,NE,TE,2022,receiving,2026-07-03T11:41:35.354918,14.0,27.0,38.0,3.0,17.5,0.0,0.0,200.0,9.0,245.0,0.0,9.1,53.0
Dante Pettis,3127306,CHI,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,19.0,41.0,2.0,14.4,0.0,0.0,63.0,9.0,245.0,3.0,12.9,51.0
Ray-Ray McCloud III,3728262,SF,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,14.0,25.0,5.0,14.3,0.0,0.0,92.0,11.0,243.0,1.0,17.4,42.0
Nyheim Hines,3916430,IND/BUF,RB,2022,receiving,2026-07-03T11:41:35.354918,16.0,30.0,37.0,2.0,15.1,0.0,0.0,190.0,11.0,241.0,1.0,8.0,22.0
Nick Chubb,3128720,CLE,RB,2022,receiving,2026-07-03T11:41:35.354918,17.0,27.0,37.0,1.0,14.1,0.0,0.0,259.0,12.0,239.0,1.0,8.9,26.0
Harrison Bryant,4040774,CLE,TE,2022,receiving,2026-07-03T11:41:35.354918,17.0,31.0,42.0,1.0,14.1,0.0,0.0,113.0,12.0,239.0,1.0,7.7,30.0
